"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.645292125E0,7.813751221E-2,2.219883728E-1,9.790690155E0,9.793518164E0
2.655353125E0,7.738906860E-2,2.209405518E-1,9.792935486E0,9.795733215E0
2.665414125E0,6.825805664E-2,2.227368164E-1,9.796528015E0,9.799297526E0
2.675475125E0,7.768844604E-2,2.240840149E-1,9.799222412E0,9.802092074E0
2.685536125E0,7.664062500E-2,2.234852600E-1,9.796677704E0,9.799526187E0
2.695597125E0,7.828720093E-2,2.216889954E-1,9.795330505E0,9.798151591E0
2.705658125E0,6.691085815E-2,2.215393066E-1,9.802216187E0,9.804947674E0
2.715719125E0,7.409591675E-2,2.269281006E-1,9.803413696E0,9.806319731E0
2.725780125E0,8.367599487E-2,2.294728088E-1,9.801318054E0,9.804361022E0
2.735841125E0,7.858657837E-2,2.240840149E-1,9.794881439E0,9.797759535E0
2.745902125E0,7.125183105E-2,2.183958435E-1,9.796378326E0,9.799071481E0
2.755963125E0,7.589218140E-2,2.278262329E-1,9.804311829E0,9.807252156E0
2.766024125E0,7.798782349E-2,2.237846375E-1,9.795480194E0,9.798346488E0
2.776085125E0,7.200027466E-2,2.234852600E-1,9.792336731E0,9.795151268E0
2.786147125E0,8.337661743E-2,2.284249878E-1,9.796228638E0,9.799246153E0
2.796208125E0,7.304809570E-2,2.237846375E-1,9.787546692E0,9.790377206E0
2.806269125E0,7.544311523E-2,2.305206299E-1,9.794582062E0,9.797584865E0
2.816330125E0,7.753875732E-2,2.192939758E-1,9.796677704E0,9.799438562E0
2.826391125E0,7.993377686E-2,2.296224976E-1,9.804461517E0,9.807475799E0
2.836452125E0,7.289840698E-2,2.206411743E-1,9.798024902E0,9.800780004E0
2.846513125E0,7.020401001E-2,2.239343262E-1,9.795629883E0,9.798440692E0
2.856574125E0,7.185058594E-2,2.266287231E-1,9.794132996E0,9.797018129E0
2.866635125E0,7.753875732E-2,2.254312134E-1,9.789642334E0,9.792544537E0
2.876696125E0,7.170089722E-2,2.179467773E-1,9.801018677E0,9.803703837E0
2.886757125E0,6.900650024E-2,2.282752991E-1,9.796977081E0,9.799879154E0
2.896818125E0,7.619155884E-2,2.260299683E-1,9.801018677E0,9.803920736E0
2.906879125E0,7.439529419E-2,2.281256104E-1,9.791887665E0,9.794827206E0
2.916940125E0,7.289840698E-2,2.242337036E-1,9.786199493E0,9.789039557E0
2.927001125E0,6.930587769E-2,2.281256104E-1,9.795779572E0,9.798680626E0
2.937062125E0,8.128097534E-2,2.231858826E-1,9.802515564E0,9.805392900E0
2.947124125E0,6.945556641E-2,2.266287231E-1,9.803862762E0,9.806727778E0
2.957185125E0,7.484436035E-2,2.323168945E-1,9.804760895E0,9.807798378E0
2.967246125E0,7.469467163E-2,2.311193848E-1,9.800719299E0,9.803728589E0
