"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.437729375E0,2.183958435E-1,9.220825195E-2,9.764344940E0,9.767222288E0
2.447790375E0,2.050735474E-1,8.966354370E-2,9.709409180E0,9.711988536E0
2.457851375E0,2.037263489E-1,8.532257080E-2,9.816137238E0,9.818621830E0
2.467912375E0,1.977388000E-1,1.035845947E-1,9.831255798E0,9.833789756E0
2.477973375E0,1.941462708E-1,1.193019104E-1,9.732610931E0,9.735278181E0
2.488033375E0,1.927990723E-1,1.213975525E-1,9.727072449E0,9.729740350E0
2.498094375E0,2.028282166E-1,1.300794983E-1,9.834399261E0,9.837350700E0
2.508155375E0,2.013313293E-1,1.302291870E-1,9.821076965E0,9.824003599E0
2.518216375E0,1.933978271E-1,1.113684082E-1,9.732910309E0,9.735468593E0
2.528277375E0,2.016307068E-1,1.059796143E-1,9.796677704E0,9.799325520E0
2.538338375E0,2.100132751E-1,1.049317932E-1,9.878108368E0,9.880897792E0
2.548398375E0,2.140548706E-1,9.071136475E-2,9.784103851E0,9.786865495E0
2.558459375E0,2.034269714E-1,8.801696777E-2,9.752519531E0,9.755038018E0
2.568520375E0,2.180964661E-1,9.325607300E-2,9.845625916E0,9.848482748E0
2.578581375E0,2.177970886E-1,9.190887451E-2,9.854307861E0,9.857142904E0
2.588642375E0,2.082170105E-1,9.220825195E-2,9.757459259E0,9.760116182E0
2.598703375E0,2.103126526E-1,8.202941895E-2,9.786947937E0,9.789551070E0
2.608763375E0,2.106120300E-1,8.038284302E-2,9.881551208E0,9.884122273E0
2.618824375E0,2.016307068E-1,9.535171509E-2,9.824070740E0,9.826602301E0
2.628885375E0,2.038760376E-1,8.876541138E-2,9.745334473E0,9.747870984E0
2.638946375E0,2.067201233E-1,9.250762939E-2,9.831854553E0,9.834462610E0
2.649007375E0,2.155517578E-1,1.011895752E-1,9.857601013E0,9.860476643E0
